Code,Name,Market,현금배당수익률(%)_당기,주당 현금배당금(원)
093380,풍강,KOSDAQ,4.8,200
067280,멀티캠퍼스,KOSDAQ,4.8,1600
016090,대현,KOSPI,4.8,100
294870,HDC현대산업개발,KOSPI,4.8,700
034950,한국기업평가,KOSDAQ,4.8,5131
034590,인천도시가스,KOSPI,4.8,1250
005960,동부건설,KOSPI,4.8,300
055550,신한지주,KOSPI,4.78,2100
023530,롯데쇼핑,KOSPI,4.78,3800
002810,삼영무역,KOSPI,4.77,600
123700,SJM,KOSPI,4.76,175
023410,유진기업,KOSDAQ,4.75,170
098660,에스티오,KOSDAQ,4.75,110
005380,현대차,KOSPI,4.7,11400
213500,한솔제지,KOSPI,4.7,500
007590,동방아그로,KOSPI,4.7,300
003570,SNT다이내믹스,KOSPI,4.7,700
023760,한국캐피탈,KOSDAQ,4.7,28
019210,와이지-원,KOSDAQ,4.7,280
036560,영풍정밀,KOSDAQ,4.62,600
010770,평화홀딩스,KOSPI,4.61,150
204610,티쓰리,KOSDAQ,4.6,60
036530,SNT홀딩스,KOSPI,4.6,800
002450,삼익악기,KOSPI,4.6,50
001500,현대차증권,KOSPI,4.6,400
001430,세아베스틸지주,KOSPI,4.6,1200
029530,신도리코,KOSPI,4.53,1500
092460,한라IMS,KOSDAQ,4.5,300
003080,성보화학,KOSPI,4.5,135
009300,삼아제약,KOSDAQ,4.5,750
078340,컴투스,KOSDAQ,4.5,2600
002460,화성산업,KOSPI,4.5,500
016610,DB금융투자,KOSPI,4.5,200
227840,현대코퍼레이션홀딩스,KOSPI,4.5,500
109860,동일금속,KOSDAQ,4.48,400
018880,한온시스템,KOSPI,4.41,316
006390,한일현대시멘트,KOSPI,4.41,700
012750,에스원,KOSPI,4.4,2700
309960,LB인베스트먼트,KOSDAQ,4.4,200
004800,효성,KOSPI,4.4,3000
014530,극동유화,KOSPI,4.4,200
002100,경농,KOSPI,4.4,450
088350,한화생명,KOSPI,4.4,150
069260,TKG휴켐스,KOSPI,4.4,1000
075580,세진중공업,KOSPI,4.4,200
100030,인지소프트,KOSDAQ,4.35,728
318410,비비씨,KOSDAQ,4.31,400
089860,롯데렌탈,KOSPI,4.3,1200
004590,한국가구,KOSDAQ,4.3,175
006120,SK디스커버리,KOSPI,4.3,1700
102260,동성케미컬,KOSPI,4.3,200
000320,노루홀딩스,KOSPI,4.3,500
121440,골프존뉴딘홀딩스,KOSDAQ,4.3,167
357430,마스턴프리미어리츠,KOSPI,4.3,152
005010,휴스틸,KOSPI,4.3,250
026040,제이에스티나,KOSDAQ,4.3,100
267290,경동도시가스,KOSPI,4.3,875
348950,제이알글로벌리츠,KOSPI,4.27,190
334890,이지스밸류리츠,KOSPI,4.26,213
357250,미래에셋맵스리츠,KOSPI,4.23,154
041520,이엘씨,KOSDAQ,4.2,300
009970,영원무역홀딩스,KOSPI,4.2,3970
053280,예스24,KOSDAQ,4.2,200
030190,NICE평가정보,KOSPI,4.2,410
012630,HDC,KOSPI,4.2,300
071050,한국금융지주,KOSPI,4.2,2650
115310,인포바인,KOSDAQ,4.2,900
007340,DN오토모티브,KOSPI,4.19,3000
126720,수산인더스트리,KOSPI,4.18,800
033920,무학,KOSPI,4.18,230
404990,신한서부티엔디리츠,KOSPI,4.15,150
396690,미래에셋글로벌리츠,KOSPI,4.14,154
004980,성신양회,KOSPI,4.13,350
026960,동서,KOSPI,4.1,780
100840,SNT에너지,KOSPI,4.1,900
138040,메리츠금융지주,KOSPI,4.1,2360
000240,한국앤컴퍼니,KOSPI,4.1,700
075130,플랜티넷,KOSDAQ,4.1,100
000080,하이트진로,KOSPI,4.1,950
129260,인터지스,KOSPI,4.1,100
018120,진로발효,KOSDAQ,4.1,650
130660,한전산업,KOSPI,4.04,297
000850,화천기공,KOSPI,4,1300
002290,삼일기업공사,KOSDAQ,4,175
015890,태경산업,KOSPI,4,270
018500,동원금속,KOSPI,4,20
221980,케이디켐,KOSDAQ,4,500
092440,기신정기,KOSPI,4,150
049960,쎌바이오텍,KOSDAQ,4,450
136540,윈스,KOSDAQ,4,500
049720,고려신용정보,KOSDAQ,4,380
079000,와토스코리아,KOSDAQ,4,200
009180,한솔로지스틱스,KOSPI,4,100
339770,교촌에프앤비,KOSPI,4,300
108230,톱텍,KOSDAQ,4,300
009770,삼정펄프,KOSPI,4,1000
128660,피제이메탈,KOSDAQ,4,150
046440,KG모빌리언스,KOSDAQ,3.93,220
021080,에이티넘인베스트,KOSDAQ,3.9,120
122450,KX,KOSDAQ,3.9,200
145990,삼양사,KOSPI,3.9,1750
010640,진양폴리,KOSPI,3.9,250
001520,동양,KOSPI,3.88,40
058860,KTis,KOSPI,3.87,120
084010,대한제강,KOSPI,3.87,0
020000,한섬,KOSPI,3.86,750
001940,KISCO홀딩스,KOSPI,3.8,900
234080,JW생명과학,KOSPI,3.8,500
000370,한화손해보험,KOSPI,3.8,200
108670,LX하우시스,KOSPI,3.8,1700
072710,농심홀딩스,KOSPI,3.8,2500
015860,일진홀딩스,KOSPI,3.8,150
088260,이리츠코크렙,KOSPI,3.8,200
003650,미창석유,KOSPI,3.8,2800
023590,다우기술,KOSPI,3.8,700
001680,대상,KOSPI,3.8,800
005810,풍산홀딩스,KOSPI,3.8,1400
